OBJECTID,Cartegraph_ID,Street_Name,From_Street,To_Street,Street_Type,Location_Description,Ownership,Speed_Limit,Surface_Type,Surface_Width,Measured_ADT,PCI,Number_of_Lanes,Install_Date,Subdivision,Council_District,Map_Grid,CompKey,Mile_Length,Foot_Length,created_date,FISCAL_YR,LANE_MI,last_edited_date,SHAPESTLength
131,5704-012,WOODBURNE DR,DIANA LEE DR,E CUL-DE-SAC,Local,5704-012 WOODBURNE DR From DIANA LEE DR To E CUL-DE-SAC,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,35,0,72,2,1998/11/04 05:00:00+00,THE LAKES,District 10,G09,24604,0.09776409,516.19,2024/08/21 21:27:27+00,2025,0.29,2024/09/09 18:16:58+00,196.722521192867
132,1794-001,COGGESHALL CT,ASHAWAY RD,E CUL-DE-SAC,Local,1794-001 COGGESHALL CT From ASHAWAY RD To E CUL-DE-SAC,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,48,0,75,2,1998/12/31 05:00:00+00,THE LAKES,District 10,G09,27374,0.02784955,147.05,2024/08/21 21:27:27+00,2025,0.11,2024/09/09 18:16:58+00,55.9865179949602
133,5704-011,WOODBURNE DR,BOYNTON CT,DIANA LEE DR,Local,5704-011 WOODBURNE DR From BOYNTON CT To DIANA LEE DR,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,37,0,66,2,1998/11/04 05:00:00+00,THE LAKES,District 10,G09,24603,0.04242276,223.99,2024/08/21 21:27:27+00,2025,0.13,2024/09/09 18:16:58+00,85.4366558863934
134,2083-001,DIANA LEE CT,WOODBURNE DR,E CUL-DE-SAC,Local,2083-001 DIANA LEE CT From WOODBURNE DR To E CUL-DE-SAC,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,53,0,64,2,1998/11/04 05:00:00+00,THE LAKES,District 10,G09,19785,0.04312603,227.71,2024/08/21 21:27:27+00,2025,0.19,2024/09/09 18:16:58+00,86.6764187923105
135,1313-001,BOYNTON CT,WOODBURNE DR,E CUL-DE-SAC,Local,1313-001 BOYNTON CT From WOODBURNE DR To E CUL-DE-SAC,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,41,0,64,2,1998/12/31 05:00:00+00,THE LAKES,District 10,G09,18711,0.04575429,241.58,2024/08/21 21:27:27+00,2025,0.16,2024/09/09 18:16:58+00,91.9791570209795
136,5704-003,WOODBURNE DR,ASHAWAY RD,TERRA FIRMA CT,Local,5704-003 WOODBURNE DR From ASHAWAY RD To TERRA FIRMA CT,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,36,0,52,2,1998/11/04 05:00:00+00,THE LAKES,District 10,G09,24595,0.01777049,93.83,2024/08/21 21:27:27+00,2025,0.05,2024/09/09 18:16:58+00,35.7901358983127
137,3577-001,MAPLEHURST CT,MAPLEHURST RD,S CUL-DE-SAC,Local,3577-001 MAPLEHURST CT From MAPLEHURST RD To S CUL-DE-SAC,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,33,0,72,2,2000/05/30 04:00:00+00,TIMBERLAKE,District 10,F09,98509,0.03373491,178.12,2024/08/21 21:27:27+00,2025,0.09,2024/09/09 18:16:58+00,67.9861123977236
138,3578-001,MAPLEHURST RD,MAPLEHURST CT,BIRCH RD,Local,3578-001 MAPLEHURST RD From MAPLEHURST CT To BIRCH RD,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,47,0,74,2,1999/06/11 04:00:00+00,TIMBERLAKE,District 10,F09,21894,0.0179955,95.02,2024/08/21 21:27:27+00,2025,0.07,2024/09/09 18:16:58+00,36.1772342829023
139,5209-001,THISTLE CI,BIRCH RD,BIRCH RD,Local,5209-001 THISTLE CI From BIRCH RD To BIRCH RD,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,36,0,83,2,1998/12/31 05:00:00+00,TIMBERLAKE,District 10,F09,27008,0.10976744,579.57,2024/08/21 21:27:27+00,2025,0.33,2024/09/09 18:16:58+00,220.718904910697
140,1217-002,BIRCH RD,BIRCH CT,THISTLE CI,Local,1217-002 BIRCH RD From BIRCH CT To THISTLE CI,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,26,0,91,2,1998/10/05 04:00:00+00,TIMBERLAKE,District 10,F09,18575,0.0418896,221.18,2024/08/21 21:27:27+00,2025,0.09,2024/09/09 18:16:58+00,84.4425376650161
141,5209-002,THISTLE CI,BIRCH RD,FOXWOOD DR,Local,5209-002 THISTLE CI From BIRCH RD To FOXWOOD DR,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,23,0,73,2,1998/12/31 05:00:00+00,TIMBERLAKE,District 10,F09,27009,0.03396895,179.36,2024/08/21 21:27:27+00,2025,0.07,2024/09/09 18:16:58+00,68.2043207128992
142,0037-012,FOXWOOD DR,THISTLE CI,WHITE BEAM CT,Collector,0037-012 FOXWOOD DR From THISTLE CI To WHITE BEAM CT,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,36,0,83,2,1998/08/10 04:00:00+00,TIMBERLAKE,District 10,F09,91107,0.07306732,385.8,2024/08/21 21:27:27+00,2025,0.22,2024/09/09 18:16:58+00,147.306675444662
143,5555-001,WHITE BEAM CT,FOXWOOD DR,E CUL-DE-SAC,Local,5555-001 WHITE BEAM CT From FOXWOOD DR To E CUL-DE-SAC,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,55,0,79,2,1998/12/31 05:00:00+00,TIMBERLAKE,District 10,F09,27609,0.08877002,468.71,2024/08/21 21:27:27+00,2025,0.41,2024/09/09 18:16:58+00,178.28790461978
144,3578-003,MAPLEHURST RD,FOXWOOD DR,N CUL-DE-SAC,Local,3578-003 MAPLEHURST RD From FOXWOOD DR To N CUL-DE-SAC,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,34,0,62,2,1999/06/11 04:00:00+00,TIMBERLAKE,District 10,F09,98853,0.14435171,762.18,2024/08/21 21:27:27+00,2025,0.41,2024/09/09 18:16:58+00,290.589219433893
145,0037-011,FOXWOOD DR,MAPLEHURST RD,THISTLE CI,Collector,0037-011 FOXWOOD DR From MAPLEHURST RD To THISTLE CI,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,34,0,85,2,1998/08/10 04:00:00+00,TIMBERLAKE,District 10,F09,91106,0.11087986,585.45,2024/08/21 21:27:27+00,2025,0.31,2024/09/09 18:16:58+00,223.436213478874
146,1215-001,BIRCH CT,BIRCH RD,E CUL-DE-SAC,Local,1215-001 BIRCH CT From BIRCH RD To E CUL-DE-SAC,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,37,0,72,2,1998/12/31 05:00:00+00,TIMBERLAKE,District 10,F09,18572,0.03216384,169.83,2024/08/21 21:27:27+00,2025,0.1,2024/09/09 18:16:58+00,64.6536113659554
147,1217-003,BIRCH RD,THISTLE CI,THISTLE CI,Local,1217-003 BIRCH RD From THISTLE CI To THISTLE CI,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,27,0,73,2,1998/10/05 04:00:00+00,TIMBERLAKE,District 10,F09,18574,0.0416469,219.9,2024/08/21 21:27:27+00,2025,0.09,2024/09/09 18:16:58+00,83.9416272636124
148,3578-002,MAPLEHURST RD,BIRCH RD,FOXWOOD DR,Local,3578-002 MAPLEHURST RD From BIRCH RD To FOXWOOD DR,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,28,0,72,2,1999/06/11 04:00:00+00,TIMBERLAKE,District 10,F09,21895,0.03643851,192.4,2024/08/21 21:27:27+00,2025,0.09,2024/09/09 18:16:58+00,73.3221978704504
149,1217-001,BIRCH RD,MAPLEHURST RD,BIRCH CT,Local,1217-001 BIRCH RD From MAPLEHURST RD To BIRCH CT,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,36,0,69,2,1998/10/05 04:00:00+00,TIMBERLAKE,District 10,F09,18576,0.05469301,288.78,2024/08/21 21:27:27+00,2025,0.16,2024/09/09 18:16:58+00,110.169764047174
150,0016-007,BOW CREEK BL,END BRIDGE,CLUB HOUSE RD,Collector,0016-007 BOW CREEK BL From END BRIDGE To CLUB HOUSE RD,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,37,5066,69,2,1998/08/17 04:00:00+00,PRINCESS ANNE PLAZA,District 10,H08,92704,0.03999242,211.16,2024/08/21 21:27:27+00,2025,0.12,2024/09/09 18:16:58+00,80.3603654661301
151,0016-005,BOW CREEK BL,LAMPLIGHT LA,START BRIDGE,Collector,0016-005 BOW CREEK BL From LAMPLIGHT LA To START BRIDGE,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,29,5066,70,2,1998/08/17 04:00:00+00,PRINCESS ANNE PLAZA,District 3,H08,89684,0.0263811,139.29,2024/08/21 21:27:27+00,2025,0.06,2024/09/09 18:16:58+00,53.0116517796795
152,0289-001,BROOKBRIDGE RD,DEER PARK DR,RIVERBEND RD (NB),Local,0289-001 BROOKBRIDGE RD From DEER PARK DR To RIVERBEND RD (NB),CITY MAINTAINED VDOT FUNDED,25,ASPHALT,29,0,86,2,1998/12/31 05:00:00+00,PRINCESS ANNE PLAZA,District 10,H08,95173,0.18736723,989.3,2024/08/21 21:27:27+00,2025,0.45,2024/09/09 18:16:58+00,376.796545824553
153,0330-004,CLUB HOUSE RD S,LAKECREST RD,DEER PARK DR,Local,0330-004 CLUB HOUSE RD S From LAKECREST RD To DEER PARK DR,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,29,0,30,2,1998/11/03 05:00:00+00,PRINCESS ANNE PLAZA,District 10,H08,95776,0.04164578,219.89,2024/08/21 21:27:27+00,2025,0.1,2024/09/09 18:16:58+00,83.972993152271
154,0016-002,BOW CREEK BL,CARRIAGE HILL RD,BURGESSES LA,Collector,0016-002 BOW CREEK BL From CARRIAGE HILL RD To BURGESSES LA,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,34,5066,62,2,1998/08/17 04:00:00+00,PRINCESS ANNE PLAZA,District 3,H08,89681,0.19464134,1027.71,2024/08/21 21:27:27+00,2025,0.55,2024/09/09 18:16:58+00,390.820543416869
155,0016-003,BOW CREEK BL,BURGESSES LA,KINGS ARMS DR,Collector,0016-003 BOW CREEK BL From BURGESSES LA To KINGS ARMS DR,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,27,5066,68,2,1998/08/17 04:00:00+00,PRINCESS ANNE PLAZA,District 3,H08,89682,0.11077799,584.91,2024/08/21 21:27:27+00,2025,0.25,2024/09/09 18:16:58+00,222.453207156106
156,0291-001,BURGESSES LA,BOW CREEK BL,ASHLAWN TE,Local,0291-001 BURGESSES LA From BOW CREEK BL To ASHLAWN TE,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,22,0,55,2,1998/11/02 05:00:00+00,PRINCESS ANNE PLAZA,District 3,H08,94903,0.04805952,253.75,2024/08/21 21:27:27+00,2025,0.09,2024/09/09 18:16:58+00,96.9040631157435
157,0016-004,BOW CREEK BL,KINGS ARMS DR,LAMPLIGHT LA,Collector,0016-004 BOW CREEK BL From KINGS ARMS DR To LAMPLIGHT LA,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,60,5066,68,2,1998/08/17 04:00:00+00,PRINCESS ANNE PLAZA,District 3,H08,89683,0.07292136,385.02,2024/08/21 21:27:27+00,2025,0.36,2024/09/09 18:16:58+00,146.536358913885
158,0305-006,CARRIAGE HILL RD,BOW CREEK BL,ASHLAWN TE,Local,0305-006 CARRIAGE HILL RD From BOW CREEK BL To ASHLAWN TE,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,26,0,70,2,1998/11/02 05:00:00+00,PRINCESS ANNE PLAZA,District 3,H08,15775,0.04789163,252.87,2024/08/21 21:27:27+00,2025,0.1,2024/09/09 18:16:58+00,96.5580849512354
159,0330-005,CLUB HOUSE RD S,DEER PARK DR,BOW CREEK BL,Local,0330-005 CLUB HOUSE RD S From DEER PARK DR To BOW CREEK BL,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,29,0,35,2,1998/11/03 05:00:00+00,PRINCESS ANNE PLAZA,District 10,H08,95777,0.04483943,236.75,2024/08/21 21:27:27+00,2025,0.11,2024/09/09 18:16:58+00,90.3614082327818
160,0291-002,BURGESSES LA,ASHLAWN TE,COACH HOUSE LA,Local,0291-002 BURGESSES LA From ASHLAWN TE To COACH HOUSE LA,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,26,0,60,2,1998/11/02 05:00:00+00,PRINCESS ANNE PLAZA,District 3,H08,94904,0.04750906,250.85,2024/08/21 21:27:27+00,2025,0.1,2024/09/09 18:16:58+00,95.7960241163484
161,0305-007,CARRIAGE HILL RD,ASHLAWN TE,COACH HOUSE LA,Local,0305-007 CARRIAGE HILL RD From ASHLAWN TE To COACH HOUSE LA,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,24,0,76,2,1998/11/02 05:00:00+00,PRINCESS ANNE PLAZA,District 3,H08,15776,0.04744898,250.53,2024/08/21 21:27:27+00,2025,0.09,2024/09/09 18:16:58+00,95.6684272626032
162,0291-003,BURGESSES LA,COACH HOUSE LA,GENTRY RD,Local,0291-003 BURGESSES LA From COACH HOUSE LA To GENTRY RD,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,25,0,51,2,1998/11/02 05:00:00+00,PRINCESS ANNE PLAZA,District 3,H08,94905,0.04745284,250.55,2024/08/21 21:27:27+00,2025,0.1,2024/09/09 18:16:58+00,95.6832869729087
163,0305-008,CARRIAGE HILL RD,COACH HOUSE LA,GENTRY RD,Local,0305-008 CARRIAGE HILL RD From COACH HOUSE LA To GENTRY RD,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,24,0,73,2,1998/11/02 05:00:00+00,PRINCESS ANNE PLAZA,District 3,H08,15777,0.04740685,250.31,2024/08/21 21:27:27+00,2025,0.09,2024/09/09 18:16:58+00,95.5841758322475
164,0291-004,BURGESSES LA,GENTRY RD,BOWLING GREEN DR,Local,0291-004 BURGESSES LA From GENTRY RD To BOWLING GREEN DR,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,23,0,50,2,1998/11/02 05:00:00+00,PRINCESS ANNE PLAZA,District 3,H08,94906,0.08296926,438.08,2024/08/21 21:27:27+00,2025,0.16,2024/09/09 18:16:58+00,167.303445111001
165,0271-002,BOWLING GREEN DR,CARRIAGE HILL RD,BOWLING GREEN CT,Local,0271-002 BOWLING GREEN DR From CARRIAGE HILL RD To BOWLING GREEN CT,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,24,0,66,2,1998/12/31 05:00:00+00,PRINCESS ANNE PLAZA,District 3,H08,15620,0.05796954,306.08,2024/08/21 21:27:27+00,2025,0.12,2024/09/09 18:16:58+00,116.396631740356
166,0305-010,CARRIAGE HILL RD,BOWLING GREEN DR,FERRY FARM LA,Local,0305-010 CARRIAGE HILL RD From BOWLING GREEN DR To FERRY FARM LA,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,27,0,58,2,1998/11/02 05:00:00+00,PRINCESS ANNE PLAZA,District 3,H08,15779,0.04780061,252.39,2024/08/21 21:27:27+00,2025,0.11,2024/09/09 18:16:58+00,96.3729946120281
167,3922-002,NORTHGATE DR,DEER PARK DR,FOX RUN RD,Local,3922-002 NORTHGATE DR From DEER PARK DR To FOX RUN RD,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,16,0,65,2,1998/11/03 05:00:00+00,PRINCESS ANNE PLAZA,District 10,H08,22394,0.04932701,260.45,2024/08/21 21:27:27+00,2025,0.07,2024/09/09 18:16:58+00,99.1501084060537
168,1305-001,BOWLING GREEN CT,BOWLING GREEN DR,S CUL-DE-SAC,Local,1305-001 BOWLING GREEN CT From BOWLING GREEN DR To S CUL-DE-SAC,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,38,0,44,2,1998/12/31 05:00:00+00,PRINCESS ANNE PLAZA,District 3,H08,15619,0.03703417,195.54,2024/08/21 21:27:27+00,2025,0.12,2024/09/09 18:16:58+00,74.6808492388778
169,3922-003,NORTHGATE DR,FOX RUN RD,NORTHGATE CT,Local,3922-003 NORTHGATE DR From FOX RUN RD To NORTHGATE CT,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,30,0,81,2,1998/11/03 05:00:00+00,PRINCESS ANNE PLAZA,District 10,G08,22395,0.04709234,248.65,2024/08/21 21:27:27+00,2025,0.12,2024/09/09 18:16:58+00,94.5580740531976
170,3922-004,NORTHGATE DR,NORTHGATE CT,FOREST TL,Local,3922-004 NORTHGATE DR From NORTHGATE CT To FOREST TL,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,31,0,73,2,1998/11/03 05:00:00+00,PRINCESS ANNE PLAZA,District 10,G08,22396,0.04719979,249.21,2024/08/21 21:27:27+00,2025,0.12,2024/09/09 18:16:58+00,94.7742024806856
171,3922-005,NORTHGATE DR,FOREST TL,W CUL-DE-SAC,Local,3922-005 NORTHGATE DR From FOREST TL To W CUL-DE-SAC,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,22,0,64,2,1998/11/03 05:00:00+00,PRINCESS ANNE PLAZA,District 10,G08,22397,0.01233717,65.14,2024/08/21 21:27:27+00,2025,0.02,2024/09/09 18:16:58+00,24.7735537920985
172,5704-005,WOODBURNE DR,MEADOWBURM CI,NEMO CT,Local,5704-005 WOODBURNE DR From MEADOWBURM CI To NEMO CT,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,27,0,70,2,1998/11/04 05:00:00+00,THE LAKES,District 10,G08,24597,0.03395359,179.27,2024/08/21 21:27:27+00,2025,0.08,2024/09/09 18:16:58+00,68.2639407518347
173,3667-001,MEADOWBURM CI,WOODBURNE DR,N CUL-DE-SAC,Local,3667-001 MEADOWBURM CI From WOODBURNE DR To N CUL-DE-SAC,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,76,0,69,2,1998/12/31 05:00:00+00,THE LAKES,District 10,G08,40690,0.0212366,112.13,2024/08/21 21:27:27+00,2025,0.13,2024/09/09 18:16:58+00,42.7665832542185
174,3641-001,MAXINE CT,WOODBURNE DR,W CUL-DE-SAC,Local,3641-001 MAXINE CT From WOODBURNE DR To W CUL-DE-SAC,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,76,0,45,2,1998/12/31 05:00:00+00,THE LAKES,District 10,G08,21980,0.01957887,103.38,2024/08/21 21:27:27+00,2025,0.12,2024/09/09 18:16:58+00,39.3166858941595
175,5704-009,WOODBURNE DR,HALEY DR,MAXINE CT,Local,5704-009 WOODBURNE DR From HALEY DR To MAXINE CT,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,22,0,74,2,1998/11/04 05:00:00+00,THE LAKES,District 10,G08,24601,0.02607591,137.68,2024/08/21 21:27:27+00,2025,0.05,2024/09/09 18:16:58+00,52.5021282579335
176,3871-001,NEMO CT,WOODBURNE DR,S CUL-DE-SAC,Local,3871-001 NEMO CT From WOODBURNE DR To S CUL-DE-SAC,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,74,0,71,2,1998/12/31 05:00:00+00,THE LAKES,District 10,G08,22315,0.01090002,57.55,2024/08/21 21:27:27+00,2025,0.07,2024/09/09 18:16:58+00,21.9273540738503
177,5704-006,WOODBURNE DR,NEMO CT,HOLDER CT,Local,5704-006 WOODBURNE DR From NEMO CT To HOLDER CT,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,27,0,62,2,1998/11/04 05:00:00+00,THE LAKES,District 10,G08,24598,0.0237246,125.27,2024/08/21 21:27:27+00,2025,0.05,2024/09/09 18:16:58+00,47.7541999588096
178,5704-008,WOODBURNE DR,CRAIG CT,HALEY DR,Local,5704-008 WOODBURNE DR From CRAIG CT To HALEY DR,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,24,0,66,2,1998/11/04 05:00:00+00,THE LAKES,District 10,G08,24600,0.06409739,338.43,2024/08/21 21:27:27+00,2025,0.13,2024/09/09 18:16:58+00,128.804710097611
179,5704-007,WOODBURNE DR,HOLDER CT,CRAIG CT,Local,5704-007 WOODBURNE DR From HOLDER CT To CRAIG CT,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,27,0,65,2,1998/11/04 05:00:00+00,THE LAKES,District 10,G08,24599,0.04567372,241.16,2024/08/21 21:27:27+00,2025,0.1,2024/09/09 18:16:58+00,91.783654539226
180,2924-001,HOLDER CT,N CUL-DE-SAC,WOODBURNE DR,Local,2924-001 HOLDER CT From N CUL-DE-SAC To WOODBURNE DR,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,77,0,74,2,1998/12/31 05:00:00+00,THE LAKES,District 10,G08,20973,0.01153261,60.89,2024/08/21 21:27:27+00,2025,0.07,2024/09/09 18:16:58+00,23.2077253717377
181,1903-001,CRAIG CT,N DEAD END,WOODBURNE DR,Local,1903-001 CRAIG CT From N DEAD END To WOODBURNE DR,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,76,0,61,2,1999/05/08 04:00:00+00,THE LAKES,District 10,G08,19522,0.01508412,79.64,2024/08/21 21:27:27+00,2025,0.1,2024/09/09 18:16:58+00,30.4154236676065
182,6284-001,LOPER LA (NB),GADWALL PL,PLAZA TR S(NB),Local,6284-001 LOPER LA (NB) From GADWALL PL To PLAZA TR S(NB),CITY MAINTAINED VDOT FUNDED,25,ASPHALT,31,0,75,2,1999/05/24 04:00:00+00,TIMBERLAKE,District 10,F08,,0.03588228,189.46,2024/08/21 21:27:27+00,2025,0.09,2024/09/09 18:16:58+00,72.1593610440544
183,2531-003,GADWALL PL,LOPER LA (SB),GADWALL CT,Local,2531-003 GADWALL PL From LOPER LA (SB) To GADWALL CT,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,36,0,77,2,1998/10/06 04:00:00+00,TIMBERLAKE,District 10,F08,,0.03226301,170.35,2024/08/21 21:27:27+00,2025,0.1,2024/09/09 18:16:58+00,64.9741738195726
184,0867-001,ALDER CIR,FOXWOOD DR,ALDER CI,Local,0867-001 ALDER CIR From FOXWOOD DR To ALDER CI,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,31,0,75,2,1998/12/31 05:00:00+00,TIMBERLAKE,District 10,F08,89216,0.24642504,1301.12,2024/08/21 21:27:27+00,2025,0.64,2024/09/09 18:16:58+00,495.818244790194
185,5158-001,TAMARACK CT,LOBLOLLY LA,E CUL-DE-SAC,Local,5158-001 TAMARACK CT From LOBLOLLY LA To E CUL-DE-SAC,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,60,0,83,2,1998/12/31 05:00:00+00,TIMBERLAKE,District 10,F08,23933,0.11863817,626.41,2024/08/21 21:27:27+00,2025,0.59,2024/09/09 18:16:58+00,238.676133463568
186,1456-001,BUTTONWOOD CT,FOXWOOD DR,W CUL-DE-SAC,Local,1456-001 BUTTONWOOD CT From FOXWOOD DR To W CUL-DE-SAC,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,56,0,69,2,1998/12/31 05:00:00+00,TIMBERLAKE,District 10,F08,18893,0.10367357,547.4,2024/08/21 21:27:27+00,2025,0.48,2024/09/09 18:16:58+00,208.53386137131
187,1874-001,COTTONWOOD CT,LOBLOLLY LA,N CUL-DE-SAC,Local,1874-001 COTTONWOOD CT From LOBLOLLY LA To N CUL-DE-SAC,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,63,0,82,2,1998/12/31 05:00:00+00,TIMBERLAKE,District 10,F08,95575,0.15241795,804.77,2024/08/21 21:27:27+00,2025,0.8,2024/09/09 18:16:58+00,307.219934055634
188,2530-001,GADWALL CT,GADWALL PL,GADWALL PL,Local,2530-001 GADWALL CT From GADWALL PL To GADWALL PL,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,29,0,71,2,1998/12/31 05:00:00+00,TIMBERLAKE,District 10,F08,20357,0.14049243,741.8,2024/08/21 21:27:27+00,2025,0.34,2024/09/09 18:16:58+00,282.63588240561
189,0037-015,FOXWOOD DR,TANOAK CT,ALDER CI,Collector,0037-015 FOXWOOD DR From TANOAK CT To ALDER CI,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,36,0,90,2,1998/08/10 04:00:00+00,TIMBERLAKE,District 10,F08,91110,0.1496853,790.34,2024/08/21 21:27:27+00,2025,0.45,2024/09/09 18:16:58+00,301.159471623267
190,5165-001,TANOAK CT,FOXWOOD DR,N CUL-DE-SAC,Local,5165-001 TANOAK CT From FOXWOOD DR To N CUL-DE-SAC,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,55,0,88,2,1998/12/31 05:00:00+00,TIMBERLAKE,District 10,F08,23938,0.06680195,352.71,2024/08/21 21:27:27+00,2025,0.31,2024/09/09 18:16:58+00,134.420018239366
191,2531-002,GADWALL PL,GADWALL CT,LOPER LA (SB),Local,2531-002 GADWALL PL From GADWALL CT To LOPER LA (SB),CITY MAINTAINED VDOT FUNDED,25,ASPHALT,24,0,82,2,1998/10/06 04:00:00+00,TIMBERLAKE,District 10,F08,20359,0.02466397,130.23,2024/08/21 21:27:27+00,2025,0.05,2024/09/09 18:16:58+00,49.6564078243685
192,2531-001,GADWALL PL,FOXWOOD DR,GADWALL CT,Local,2531-001 GADWALL PL From FOXWOOD DR To GADWALL CT,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,27,0,80,2,1998/10/06 04:00:00+00,TIMBERLAKE,District 10,F08,20358,0.10848779,572.82,2024/08/21 21:27:27+00,2025,0.24,2024/09/09 18:16:58+00,218.237106452567
193,3387-002,LINDEN CT,WEYMOUTH CT,N CUL-DE-SAC,Local,3387-002 LINDEN CT From WEYMOUTH CT To N CUL-DE-SAC,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,59,0,93,2,1998/12/31 05:00:00+00,TIMBERLAKE,District 10,F08,21633,0.07989206,421.83,2024/08/21 21:27:27+00,2025,0.39,2024/09/09 18:16:58+00,161.003841595498
194,5521-001,WEYMOUTH CT,LINDEN CT,N CUL-DE-SAC,Local,5521-001 WEYMOUTH CT From LINDEN CT To N CUL-DE-SAC,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,54,0,89,2,1998/12/31 05:00:00+00,TIMBERLAKE,District 10,F08,24371,0.07273667,384.05,2024/08/21 21:27:27+00,2025,0.33,2024/09/09 18:16:58+00,146.278914888466
195,3419-003,LOBLOLLY LA,LINDEN CT,S DEAD END,Local,3419-003 LOBLOLLY LA From LINDEN CT To S DEAD END,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,44,0,84,2,1998/12/31 05:00:00+00,TIMBERLAKE,District 10,F08,26302,0.03576235,188.83,2024/08/21 21:27:27+00,2025,0.13,2024/09/09 18:16:58+00,71.8765671487586
196,2531-004,GADWALL PL,GADWALL CT,S CUL-DE-SAC,Local,2531-004 GADWALL PL From GADWALL CT To S CUL-DE-SAC,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,37,0,81,2,1998/10/06 04:00:00+00,TIMBERLAKE,District 10,F08,20361,0.09948017,525.26,2024/08/21 21:27:27+00,2025,0.31,2024/09/09 18:16:58+00,200.257264338939
197,3419-002,LOBLOLLY LA,TAMARACK CT,LINDEN CT,Local,3419-002 LOBLOLLY LA From TAMARACK CT To LINDEN CT,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,50,0,69,2,1998/12/31 05:00:00+00,TIMBERLAKE,District 10,F08,26301,0.07262251,383.45,2024/08/21 21:27:27+00,2025,0.3,2024/09/09 18:16:58+00,145.935098815296
198,3387-001,LINDEN CT,LOBLOLLY LA,WEYMOUTH CT,Local,3387-001 LINDEN CT From LOBLOLLY LA To WEYMOUTH CT,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,53,0,88,2,1998/12/31 05:00:00+00,TIMBERLAKE,District 10,F08,21632,0.13584738,717.27,2024/08/21 21:27:27+00,2025,0.6,2024/09/09 18:16:58+00,273.689445553023
